1198,245
932,249
543,330
593,568
1313,700
1700,556
1518,328
963,238
571,283
443,325
938,184
1271,191
1217,572
818,569
678,399
1173,227
1025,482
562,527
434,783
1187,747
1575,450
991,225
386,197
357,446
619,641
679,474
540,182
366,404
344,551
320,662
409,336
484,152
295,110
175,311
306,620
307,648
436,559
456,404
581,296
927,214
1330,390
1365,179
1060,177
1321,219
1384,235
1382,227
1506,292
1565,289
1703,343
1647,108
1171,113
931,139
472,145
389,192
715,374
1390,629
1667,584
1769,444
1775,384
1745,666
1614,823
1191,901
841,907
720,853
818,814
1407,765
1372,622
1148,500
881,560
907,660
1099,674
1307,424
859,406
849,594
1283,550
1152,361
970,644
1077,447
1084,507
1024,429
